Goethe | Faust | Tiyatro / Dram |  | - | Kendini birçok alanda iyi yetiştirmiş bir doktor olan Faust'un öyküsüdür. Şeytanı temsil eden Mefistoteles, Faust'u yoldan çıkarma konusunda Tanrı'yla bir iddiaya girer. Faust'un üstün iradesi Şeytan'ı alt eder. İnsan ve Şeytan mücadelesini konu alan felsefi bir eserdir. Yazılması bir ömre yayılmıştır. Konusunu "şeytanla bahse giren insanoğlu" temasından alır. | Goethe (Wolfgang Goethe) (18-19. yy), Romantik bir sanatçıdır. Şiir, roman ve tiyatro alanında eserler verir. Müslümanlığa olan ilgisini Doğu-Batı Divanı'na yansıtmıştır. Alman edebiyatının kurucularından kabul edilir. Hasan Âli Yücel, "Goethe: Bir Dehanın Romanı" adlı biyografik romanı yazmıştır.
Goethe | Genç Werther'in Acıları | Roman |  | - | 1769 yılında İngiltere'de geçer. Güzel bir kadın, genç bir adam, yasak bir aşk ve mektuplar temeline oturmuş, platonik aşkın intiharla sonuçlanmasını anlatan romandır. Werther, Lotte'ye olan imkânsız aşkı yüzünden intihara sürüklenir. Alman edebiyatında Coşkunluk Akımı'nı başlatmıştır. | -
Goethe | Wilhelm Meister'in Çıraklık Yılları | Roman |  | - | Başkişisi "kendisini gerçekleştirme yolculuğu"na çıkar. Burjuva bir iş adamının boş hayatı olarak gördüğü hayatından kaçmasını ve tiyatroda yaşadığı başarısızlıktan sonra kendisini aydın aristokratlardan oluşan bir topluluğa adamasını anlatır. | -
Goethe | Doğu-Batı Divanı | Şiir |  | - | Müslümanlığa olan ilgisini ve Doğu kültürüne duyduğu hayranlığı yansıttığı şiir kitabıdır. | -
Schiller | Haydutlar | Tiyatro |  | - | Baskı yönetimine karşı, toplumsal eleştiri niteliğinde bir oyundur. Kötü ve despot yönetime başkaldırma temasını işler. | Schiller (18-19. yy), Goethe ile birlikte Alman edebiyatının kurucularından kabul edilir. Romantik bir sanatçıdır. Tiyatrolarında Fransız İhtilali'nin getirdiği hürriyet havasını yansıtır.
Schiller | Don Carlos | Tiyatro |  | - | İspanya Kralı'nın oğlu ve tahtın varisi Don Carlos'un kraliçe Elizabeth'e olan aşkı ve duygusallığını anlatır. | -
Schiller | Wilhelm Tell | Tiyatro |  | - | 14. yüzyılın başlarında İsviçre'nin Habsburg İmparatorluğu'ndan bağımsızlık için verdiği mücadelenin bir parçası olarak efsanevi İsviçreli nişancı, halk kahramanı Wilhelm Tell'i konu eder. | -
Schiller | İnsanın Estetik Eğitimi Üzerine Mektuplar | Deneme |  | - | Sanat ve eğitim üzerine yazdığı yazılardan oluşur; sanat-eğitim ilişkisini tartışır. | -
Rainer Maria Rilke | Duino Ağıtları | Şiir |  | - | Varoluş, ölüm ve aşk temalarını işleyen, lirik ve felsefi yoğunluğu yüksek şiir dizisidir. | Rainer Maria Rilke (18. yy), Empresyonizmden etkilenen bir şairdir. En çok aşk, ölüm, tabiat gibi temaları işlemiş; lirik bir üslubu benimsemiştir. Alman halk şarkılarından da yararlanır.
Rainer Maria Rilke | Malte Laurids Brigge'nin Notları | Roman |  | - | Çağdaş Alman romanının öncülerinden sayılan eseridir. Hayatı mekanik, cansız bir hâle getiren modern çağa karşı gelmeye çalışır. Yalnızlık ve yabancılaşma temaları işlenir. | -
Thomas Mann | Buddenbrooklar (Buddenbrook Ailesi) | Roman |  | Nobel Edebiyat Ödülü (1929) | Burjuvazinin yozlaşması ve yıkılışını yer yer taşlamalı bir şekilde işler. | Thomas Mann (19-20. yy), eleştirel gerçekçi Alman romancıdır. Nobel Edebiyat Ödülü almıştır.
Thomas Mann | Büyülü Dağ | Roman |  | - | Hans Castorp adlı bir mühendisin İsviçre Alpleri'ndeki bir sanatoryumda geçirdiği yedi yılı ve burada tanıştığı insanlarla düşünsel yolculuğunu anlatır. | -
Thomas Mann | Doktor Faustus | Roman |  | - | Bir bestecinin şeytanla anlaşma yapmasını modern Almanya bağlamında işleyen romanıdır. | -
Thomas Mann | Yusuf ve Kardeşleri | Roman |  | - | Tevrat'taki Yusuf kıssasını yeniden yorumladığı, mahvolmaya mahkum olmayıp gelecek için umut veren bir karakteri anlattığı roman serisidir. | -
Erich Maria Remarque | Garp Cephesinde Yeni Bir Şey Yok | Roman |  | - | I. Dünya Savaşı'nın cephedeki acımasızlığını, savaşa yönelik acı suçlamalarla dolu bir dille anlatır. Yazarına dünyaca ün kazandırmıştır. | Erich Maria Remarque (1898-1970), 1916'da I. Dünya Savaşı'na katılmıştır. Bütün romanlarında I. ve II. Dünya Savaşı yılları Almanya'sının enflasyon yıllarını ve toplama kamplarını ele almıştır.
Erich Maria Remarque | Dönüş Yolu | Roman |  | - | I. Dünya Savaşı sonrası cepheden dönen askerlerin sivil hayata uyum sağlamakta çektiği zorlukları anlatır. | -
Erich Maria Remarque | Üç Arkadaş | Roman |  | - | Weimar Cumhuriyeti döneminde üç arkadaşın dostluk ve dayanışmasını anlatır. | -
Heinrich Böll | Fotoğrafta Kadın da Var | Roman |  | Nobel Edebiyat Ödülü (1972) | II. Dünya Savaşı'nın yıkıntılarını ve savaş sonrası Alman toplumunu ele alır. | Heinrich Böll (1917-1985), 1972'de Nobel Edebiyat Ödülü'nü alan ilk Alman yazardır. Eserlerinde II. Dünya Savaşı'nı, özellikle de insanların nasıl savaştıklarını, savaşın yıkıntılarını ve acılarını anlatmıştır.
Heinrich Böll | Özenli Kuşatma | Roman |  | - | Kontrolü eline alan devletin tehlikelerini gözler önüne seren romanıdır. | -
Bertolt Brecht | Üç Kuruşluk Opera | Tiyatro / Epik |  | - | Suç işleme çarkında, toplumun bir imgesini yaratmaya çalışarak burjuva kapitalist ilişkilerin bir çözümünü parodili bir metafor içinde anlatır. Kapitalist dünyayı bir "Yeraltı Suç Dünyası" olarak göstermeyi amaçlar. Brecht, bu oyunuyla ilk kez epik tiyatroyu ve epik müziği sahneye koymuştur. | Bertolt Brecht (20. yy), Epik tiyatronun (diyalektik tiyatro) öncüsüdür. Toplumcu gerçekçi bir sanatçıdır. Seyirciyi düşündürmek, izleyicinin aklını kullanarak bir karara varmasını sağlamak amaçlı epik oyunlar yazmıştır. Türk tiyatrosunda epik tiyatronun ilk örneklerini Haldun Taner, Keşanlı Ali Destanı ile vermiştir.
Bertolt Brecht | Galilei'nin Hayatı | Tiyatro |  | - | Bilimsel gerçekler ile otorite arasındaki çatışmayı Galileo Galilei üzerinden ele alır. | -
Bertolt Brecht | Cesaret Ana ve Çocukları | Tiyatro |  | - | Otuz Yıl Savaşları'nda geçen, savaşın yıkıcılığını bir kadın tüccar üzerinden anlatan savaş karşıtı oyunudur. | -
Bertolt Brecht | Kafkas Tebeşir Dairesi | Tiyatro |  | - | Bir çocuğun velayeti üzerinden adalet kavramını sorgulayan oyunudur. | -
Franz Kafka | Dönüşüm (Değişim) | Roman / Uzun Hikâye |  | - | Gregor Samsa'nın bir sabah kendini dev bir böceğe dönüşmüş bulmasıyla başlar ve hayatındaki değişiklikleri anlatarak devam eder. Modern toplumda bireyin yabancılaşmasını, yalnızlığını ve varoluşsal kaygılarını çarpıcı biçimde işler. | Franz Kafka (20. yy), modernist anlayışa sahip, Varoluşçu yazar özelliği de gösteren romancıdır. 20. yüzyıl sanayi sonrası Batı toplumunun açmazını ve içinde düştüğü yalnızlık ve yabancılaşma sürecini, varoluşsal kaygılarını işlemiştir. "Kafkaesk" kavramı onun eserlerinden esinlenilerek ortaya atılmıştır. Yakın arkadaşı Max Brod'a eserlerinin hepsini yakmasını vasiyet etmiş, ancak Brod bu vasiyeti yerine getirmemiştir.
Franz Kafka | Dava | Roman |  | - | Bir sabah uyandığında kendisini sebebini anlamadığı bir suç nedeniyle dava edilmiş bulan Josef K. adlı bir kahramanın absürt durumunu anlatır. Hiçbir zaman yargılanma nedenini öğrenemez; çalışmayan bir yargı düzeni ve bürokrasinin içinden çıkılmaz döngüsünün birey üzerindeki yıkıcı etkilerini işler. | -
Franz Kafka | Şato | Roman |  | - | Kadastrocu K.'nın ulaşmaya çalıştığı ancak bir türlü ulaşamadığı otoriteyi simgeleyen Şato'nun öyküsüdür. | -
Franz Kafka | Milena'ya Mektuplar | Mektup |  | - | Yazarın Çek gazeteci Milena Jesenská'ya yazdığı mektuplardan oluşur. | -
Hermann Hesse | Siddhartha | Roman |  | Nobel Edebiyat Ödülü (1946) | Genç bir Brahman olan Siddhartha'nın ruhsal arayışını ve aydınlanma yolculuğunu anlatır. Doğu felsefelerinden izler taşır. | Hermann Hesse (20. yy), Nobel ödüllü Alman romancıdır. Kendini kanıtlama, kendi olma, yazarın kendini yansıtması, bireyin kendini aşması gibi temaları işlemiştir.
Hermann Hesse | Bozkırkurdu | Roman |  | - | İnsan ruhunun ikili yapısını (insani ve kurt yanı) keşfeden Harry Haller'in içsel çatışmasını anlatır. | -
Hermann Hesse | Demian | Roman |  | - | Bir gencin kendi kimliğini bulma yolculuğunu ve iki ayrı dünya arasındaki çatışmasını konu alır. | -
