Ernest Hemingway | Silahlara Veda | Roman |  | Nobel Edebiyat Ödülü (1954) | Olaylar, I. Dünya Savaşı döneminde İtalya'da geçer. Ambulans şoförlüğü yapan Amerikalı Frederick Henry ile İngiliz hemşire Catherine arasındaki aşkı anlatır. Savaştan kaçıp İsviçre'ye giderler ama Catherine doğum yaparken ölür. | Ernest Hemingway (20. yy), Realist bir romancıdır. I. Dünya Savaşı'na sağlık memuru olarak katılmıştır. Savaşların kötülüğüne, tabiatın güzelliğine ve yaşama sevincine dikkat çeker.
Ernest Hemingway | Çanlar Kimin İçin Çalıyor | Roman |  | - | İspanya iç savaşını konu edinir. Amerikalı bir İspanyol profesör olan Robert Jordan'ın gözünden iç savaşa sürüklenen bir ülkenin, özgürlükleri için canlarını ortaya koyan insanlarını anlatır. Özgürlüğün evrenselliğini vurgular. | -
Ernest Hemingway | Yaşlı Adam ve Deniz (İhtiyar Adam ve Deniz) | Roman / Uzun Hikâye |  | - | 85 gün boyunca hiç balık tutamayan ve sonunda dev bir kılıçbalığı yakalayan, ancak köpek balıkları tarafından parçalanan avın iskeletini köyüne getiren ihtiyar balıkçı Santiago'nun hazin hikâyesidir. | -
Herman Melville | Moby Dick (Moby Dick ya da Balina) | Roman |  | - | Anlatıcı İsmail'in ağzından Kaptan Ahab'ın Moby Dick adlı beyaz balinaya karşı yürüttüğü kötücül savaşı anlatır. Amerikan edebiyatının en büyük klasiklerinden biridir. Balina avcılığı, saplantılı intikam ve insanın doğa karşısındaki çaresizliği temaları işlenir. | Herman Melville (19. yy), Romantizmi ve realizmi eserlerinde dengeli bir şekilde kullanan Amerikan romancıdır.
Edgar Allan Poe | Kuzgun | Şiir |  | - | Gotik ve melankolik atmosferde bir adamın kaybettiği sevgilisinin yasını tutarken bir kuzgunla konuşmasını anlatan ünlü şiiridir. "Nevermore" (Bir daha asla) nakaratıyla bilinir. | Edgar Allan Poe (1809-1849), kırk yıl süren çalkantılı yaşantısına karşın şiirleri, öyküleri ve denemeleriyle çığır açıcı etkisini sürdüren en önemli 19. yüzyıl yazarlarındandır. Polisiye edebiyat türünün kurucularındandır. ABD'nin ilk kısa öykü yazarlarındandır.
Edgar Allan Poe | Annabel Lee | Şiir |  | - | Genç yaşta kaybettiği sevgilisi Annabel Lee'ye duyduğu derin aşkı ve yası anlatan lirik şiiridir. | -
Edgar Allan Poe | Morg Sokağı Cinayeti | Hikâye / Polisiye |  | - | İlk polisiye türündeki eserlerden biri kabul edilir. Kilitli bir odada işlenen cinayetin akıl yürütme yoluyla çözülüşünü anlatır. | -
Edgar Allan Poe | Nantucketli Arthur Gordon Pym'in Öyküsü | Roman |  | - | Genç Arthur Gordon Pym'in güney denizlerine yaptığı yolculuğu anlatır. Gemide çıkan isyan, yamyamlık ve gizemli olaylarla doludur. Melville'in Moby Dick'ine ve Jules Verne'in Buzlar Sfenksi'ne esin kaynağı olmuştur. | -
Walt Whitman | Çimen Yaprakları | Şiir |  | - | Amerikan edebiyatının uluslararası üne kavuşmuş ilk şairinin başyapıtıdır. 1855'ten ölümüne dek dokuz kez genişletilip yeniden düzenlenmiştir. İnsan sevgisi, eşitlik, özgürlük ve demokrasi gibi temaları işler. | Walt Whitman (19. yy), Amerikan edebiyatının uluslararası üne kavuşmuş ilk şairidir. Birçok eleştirmen onu ülkenin en büyük şairi olarak görür.
Walt Whitman | Oy Koca Reis | Şiir |  | - | Başkan Abraham Lincoln'un öldürülmesi (1865) üzerine yazılmış meşhur ağıtıdır. | -
Mark Twain | Tom Sawyer'ın Maceraları | Roman / Çocuk |  | - | Mississippi kıyılarının haşarı, ele avuca sığmaz çocuğu Tom Sawyer'ın maceralarını anlatır. Yazarın kendi çocukluğundan izler taşıyan otobiyografik romanıdır. | Mark Twain (19-20. yy), asıl adı Samuel Longhorne Clemans'tır. Amerikan edebiyatının en büyük mizah yazarı olarak kabul edilir. Eserlerinde mizahi bir üslup ağır basar.
Mark Twain | Huckleberry Finn'in Serüvenleri (Maceraları) | Roman |  | - | Tom Sawyer'in Maceraları'nın devamı olarak düzenlenmiştir. Problemli bir ailenin çocuğu olan Huck Finn'in, babasının baskısından kaçıp kaçak bir köleyle arkadaş olmasını ve Mississippi boyunca yaptığı yolculuğu anlatır. Kimi edebiyatçılar tarafından Amerikan edebiyatının ilk büyük eseri olarak değerlendirilir. | -
Jack London | Beyaz Diş | Roman |  | - | Kurt-köpek kırması bir kurt yavrusunun annesinden ayrıldıktan sonra insanların arasında hayatta kalma mücadelesini ve giderek evcilleşmesini anlatır. Büyük ölçüde hayvanın bakış açısıyla yazılmıştır. | Jack London (19-20. yy), Amerikalı gazeteci ve roman yazarıdır. Elliden fazla kitabın yazarıdır. Toplumcu anlayışa sahiptir. Çağının sefaletini, gemicilerin ve işsizlerin hayat kavgasını anlatmış; daha çok işçi sınıfının yazarı olarak tanınmıştır. 1897'de Klondike'a altın aramaya gidenlere katılmış ve birçok kitabını bu tecrübesinden yararlanarak yazmıştır.
Jack London | Vahşetin Çağrısı (Yabanın Çağrısı) | Roman |  | - | Buck isimli evcil bir köpeğin çalınarak vahşi ortama sokulup bir kızak köpeği haline getirilmesi ve sonrasında doğaya adapte olma mücadelesi anlatılır. | -
Jack London | Demir Ökçe | Roman / Distopya |  | - | Emek hareketinin kapitalizm karşısında önce başarılar elde ettiği, ardından büyük bir yıkımın gerçekleştiği karanlık bir geleceğin öyküsünü anlatır. Distopik özellikler taşır. | -
Jack London | Martin Eden | Roman |  | - | Yarı otobiyografik romanıdır. Martin Eden'in aşkı uğruna eğitimsiz genç bir işçiden başarılı ve rafine bir yazara dönüşüm mücadelesini anlatır. | -
Jack London | Uçurum Halkı | Roman / Sosyal İnceleme |  | - | Londra'nın Doğu Yakası'ndaki işçi sınıfının sefaletini belgesel bir üslupla anlatır. | -
Henry James | Bir Kadının Portresi | Roman |  | - | Amerikalı genç bir kız olan İsabel Archer'ın Avrupa'ya gelişini ve burada Avrupalılaşmış Amerikalıların yozlaşmış dünyası içine düşüşünü anlatır. | Henry James (1843-1916), eleştiri, hikâye ve roman yazarıdır. Eserlerinde ana tema olarak insan bilincini işlemiş, çoğunlukla kadınların iç dünyasına göndermede bulunmuştur.
Henry James | Yürek Burgusu | Uzun Hikâye / Gotik |  | - | Gotik korku türündedir. Ücra bir malikânede işe başlayan genç bir mürebbiyenin yaşadığı dehşeti konu alır; hayaletlerin gerçek olup olmadığı belirsizdir. | -
William Faulkner | Ses ve Öfke | Roman |  | Nobel Edebiyat Ödülü (1949) | Compson ailesinin çöküşünü anlatır. Zekâ özürlü Benjy'nin bilinç akışı tekniğiyle aktarılan karmaşık zaman yapısı ve çoğulcu anlatım teknikleriyle modernizmin başyapıtlarındandır. | William Faulkner (20. yy), Amerikan modernist yazarların babası sayılır. Nobel ödülü almıştır. Uyguladığı teknikler arasında bilinç akışı tekniği ve çoğulcu anlatım teknikleri bulunur. ABD'nin güney coğrafyasını ve burada yaşayan insanların gelenek ile toplum arasında sıkışmış hâllerini anlatır. "Arayışların yazarı" olarak bilinir.
William Faulkner | Döşeğimde Ölürken | Roman |  | - | Annesinin cenazesini taşıyan Bundren ailesinin yolculuğunu her bir aile bireyinin iç monologlarıyla anlatır. Bilinç akışı tekniğinin en yetkin örneklerindendir. | -
John Steinbeck | Gazap Üzümleri | Roman |  | Pulitzer Ödülü (1940); Nobel Edebiyat Ödülü (1962) | Amerika'da 1930'lu yılların ekonomik kriz günlerini anlatır. Tom Joad ve ailesinin özelinden genele yansıyan bakış açısıyla tarım işçilerinin sömürülmesini, bankalar ve büyük arazi sahipleri tarafından aldatılışını konu alır. Göçmenlerin Kaliforniya'ya yaptığı zorunlu yolculuğu işler. | John Steinbeck (20. yy), toplumcu gerçekçi ve realist bir yazardır. Yoksul ve sömürülen kitlelerin, işçilerin sorunlarına, bireysel ve sosyal dünyalarına değinir. Daha çok California çevresini anlatır.
John Steinbeck | Fareler ve İnsanlar | Roman |  | - | Birbirine zıt karakterdeki iki mevsimlik tarım işçisinin, zeki George Milton ve onun güçlü kuvvetli ama akli dengesi bozuk yoldaşı Lennie Small'un öyküsünü anlatır. Küçük bir toprak satın alıp insanca bir hayat yaşamanın hayalini kuran bu ikilinin dostluk ve dayanışma duygusu önemli bir yer tutar. | -
John Steinbeck | İnci | Roman / Uzun Hikâye |  | - | Yoksul bir dalgıcın bulduğu büyük incinin, ailesine mutluluk yerine felaket getirmesini anlatan alegorik eseridir. | -
John Steinbeck | Sardalya Sokağı | Roman |  | - | Monterey'deki yoksul sardalya işçilerinin hayatını sıcak ve mizahi bir dille anlatır. | -
Saul Bellow | Herzog | Roman |  | Nobel Edebiyat Ödülü (1976) | Hayatı her anlamda altüst olmuş, kendinden vazgeçmiş bir adamın (Moses Herzog) varoluşsal bunalımını ve yazdığı mektuplarla kendini sorgulamasını anlatır. | Saul Bellow (20. yy), 20. yüzyılın en büyük romancılarından biri sayılmaktadır. Yalnızlığı, ruhsal şaşkınlığı ve insan bilincinin olanaklarını inceleyen romanları ile tanınır.
Saul Bellow | Boşlukta Sallanan Adam | Roman |  | - | İkinci Dünya Savaşı sırasında askere çağırılmayı bekleyen bir gazetecinin günlük şeklinde yazılmış hikâyesidir. Savaş ortamının insanların hayatlarına olan etkisini işler. | -
Arthur Miller | Bütün Oğullarım | Tiyatro |  | - | Oğullarıyla ticaret anlayışı yüzünden uzlaşamayan bir savaş zengini babanın trajedisini dile getirir. Kapitalist toplumun ve savaşın ahlaki sorgulamasını yapar. | Arthur Miller (20. yy), daha çok oyun yazarı olarak tanınır. Oyunlarında kapitalist toplumun eleştirisi vardır. İçinde yaşadığı toplumun aksayan yönlerini ve para gücünün acımasızca insanlar üzerinde bir silah gibi kullanılmasını eleştirmiştir.
Arthur Miller | Satıcının Ölümü | Tiyatro |  | - | Willy Loman adlı yaşlanan bir satıcının Amerikan Rüyası'nın yıkılışını ve ailesiyle ilişkilerini anlatır. | -
