Köroğlu | Köroğlu Destanı | Destan |  |  | Köroğlu'nun kahramanlıklarını, yiğitliğini ve haksızlığa karşı mücadelesini anlatan, Türk halk edebiyatının en önemli destanlarından biridir. | Asıl adı Ruşen Ali'dir. Babasının Bolu Beyi tarafından kör edilmesi üzerine dağa çıkarak eşkıya olmuş, ancak yiğitliği ve iyilikseverliğiyle halkın gönlünde taht kurmuştur. 16. yüzyıl saz şairlerindendir. Şiirlerinde yiğitçe ve coşkun bir söyleyişle söylenmiş koçaklamalar önemli yer tutar. Aşk ve doğa güzelliklerini ahenkli ve sade bir dille dile getirir. "Tüfek icat oldu, mertlik bozuldu" sözü ona aittir. Er Dorusu içen bir halk ozanıdır, herhangi bir eğitim almamıştır.
Köroğlu | Koçaklamalar | Şiir (Koçaklama) |  |  | Yiğitlik, savaş ve kahramanlık temalarını coşkun bir dille işlediği şiirleridir. Bu şiirler, onun başkaldıran ve mücadeleci ruhunu en iyi yansıtan metinlerdir. | 
Öksüz Dede | Türküler | Türkü |  |  | Osmanlı-İran harplerine ait iki manzumesi sayesinde 3. Murat devrinde yaşadığı bilinmektedir. Genelde türkü türünde eserleri bulunmaktadır. | Osmanlı-İran harplerine ait iki manzumesi sayesinde 3. Murat devrinde yaşadığı bilinen yeniçeri şairlerindendir. Medrese eğitimi almamıştır. Genelde türkü türünde eserler vermiştir.
Geda Musli | Şiirler | Şiir |  |  | Şiirlerinde Murat Reis komutasında Cezayir'deki Türk denizcilerinin İspanya'ya giden bir kalyonu zapt etmelerini, İspanya kralının akrabası olan Sicilya yargıcının oğlunu tutsak alarak İstanbul'a 1. Sultan Ahmet'e göndermelerini anlatır. | Yeniçeri ve Levent bir şair olarak tanınır. Evliya Çelebi Seyahatname'sinde kendisini çöğr şairi olarak tanıtır. Medrese eğitimi almamıştır.
Karacaoğlan | Nemçe Destanı | Destan |  |  | Avusturya (Nemçe) seferleriyle ilgili kahramanlıkları ve savaş atmosferini anlatan ünlü destanıdır. | 17. yüzyılda yaşadığı düşünülmektedir. Varsak Türkmenlerindendir ve Çukurova'da yaşamıştır. Şiirlerinin tamamını din dışı konularda söylemiştir. Başta Toroslar olmak üzere Anadolu'da dolaşmış; aşk, gurbet, doğa güzelliği konularında şiirler söylemiştir. Sade ve canlı bir halk Türkçesi kullanır. Medrese eğitimi almamıştır. Bütün şiirlerini hece ölçüsüyle söylemiştir. Şiirlerinde coşkun bir lirizm öne çıkar. Koşma ve semai nazım şekillerini başarıyla kullanmıştır. Şiirlerindeki sevgi soyut ve düşsel olmayıp, gerçek sevgililer etrafındadır (Elif, Anşa, Zeynep, Hürü Döne vb.).
Karacaoğlan | Var Git Ölüm | Şiir (Koşma) |  |  | Ölüme meydan okuyan, ona karşı cesur ve bilgece bir duruşu sergileyen, şairin en bilinen lirik şiirlerindendir. | 
Karacaoğlan | Can Vermeye Dermanım Mı Var | Şiir (Koşma) |  |  | İnsanın çaresizliğini, ölüm karşısındaki aczini ve yalnızlığını derin bir duyarlılıkla işleyen ünlü bir şiiridir. | 
Karacaoğlan | Elif | Şiir |  |  | Şairin gönül verdiği gerçek sevgililerinden biri olan Elif için yazdığı, içten ve lirik bir sevda şiiridir. | 
Kayıkçı Kul Mustafa | Genç Osman Destanı | Destan |  |  | IV. Murat'ın Bağdat kuşatmasında şehit düşen genç yaştaki Genç Osman'ın kahramanlıklarını destansı bir dille anlatan, şairin en ünlü eseridir. | 17. yüzyılda yaşayan yeniçeri şairlerinin en meşhurudur. IV. Murat'ın Bağdat kuşatmasına katılmış ve Genç Osman Destanı'nı yazmıştır. Divan şiirinin etkisinden uzak, halk zevkine bağlı doğal bir söyleyişle çağında büyük şöhret kazanmıştır. Yeniçeri aşığı olduğu için şiirleri yeniçeriler tarafından ezberlenmiş ve sınır boylarında söylenmiştir. Kahramanca söyleyişi nazım kusurlarını kapatır.
Aşık Katibi | Şiirler | Şiir |  |  | Aşk, özlem ve yiğitlik konularını işleyen; ağırlıklı olarak hece vezniyle söylenmiş şiirlerdir. | 17. yüzyılda IV. Murat zamanında yaşamış bir yeniçeri şairidir. Divan edebiyatından etkilenmiş, aruz veznini de kullanmıştır ancak genellikle hece veznini tercih etmiştir.
Kuloğlu | Şiirler | Şiir |  |  | Asker-ozan geleneğinin güçlü bir temsilcisi olarak hem kara hem deniz askerliği yaptığı dönemleri, Cezayir ve Bağdat seferlerine dair anılarını yansıtan şiirler söylemiştir. | 17. yüzyılda yetişen çağdaşları içinde kültürü ve ünü en geniş olan halk ozanıdır. Halk şiirinin her bakımdan en güçlü temsilcilerindendir. Hem kara askerliği hem deniz askerliği yapmıştır. Cezayir'deki savaşlara ve IV. Murat'ın Bağdat Seferi'ne katılmıştır. Evliya Çelebi ve Aşık Ömer tarafından övgüyle anlatılmıştır.
