Ahmet Hamdi Tanpınar | Huzur | Roman | 3 kez | - | Mümtaz ve Nuran'ın aşkı ekseninde Doğu-Batı çatışmasını, musiki ve zaman temalarını işleyen başyapıttır. | Cumhuriyet Dönemi'nin en derinlikli yazarlarındandır. Şiirlerinde rüya, zaman ve musiki ön plandadır.
Ahmet Hamdi Tanpınar | Saatleri Ayarlama Enstitüsü | Roman | 2 kez | - | Türk modernleşmesini ve bürokrasiyi ironik bir dille eleştiren, Hayri İrdal ve Halit Ayarcı gibi unutulmaz karakterler sunan romandır. | 
Ahmet Hamdi Tanpınar | Mahur Beste | Roman | - | - | Osmanlı'nın son dönemindeki sosyal yapıyı ve bir ailenin çöküşünü anlatan, yazarın ilk roman denemesidir. | 
Ahmet Hamdi Tanpınar | Sahnenin Dışındakiler | Roman | - | - | Milli Mücadele yıllarını işgal altındaki İstanbul'un atmosferi ve aydınların iç dünyası üzerinden anlatır. | 
Ahmet Hamdi Tanpınar | Beş Şehir | Deneme | - | - | Ankara, Erzurum, Konya, Bursa ve İstanbul'un kültürel ve tarihi dokusunu estetik bir dille tasvir eder. | 
Ahmet Hamdi Tanpınar | Abdullah Efendi'nin Rüyaları | Hikâye | - | - | Bilinçaltı ve rüya motiflerinin ağırlıkta olduğu, sembolist derinliği yüksek öyküleridir. | 
Ahmet Hamdi Tanpınar | Yaz Yağmuru | Hikâye | - | - | İnsan psikolojisini ve tabiatı şiirsel bir dille işleyen usta işi öykülerini içerir. | 
Ahmet Hamdi Tanpınar | Bütün Şiirleri | Şiir | - | - | Zaman, rüya ve musiki temalı sembolist şiirlerinin tamamını topladığı kitabıdır. | 
Necip Fazıl Kısakürek | Çile | Şiir | - | - | Şairin tüm şiirlerini topladığı ve şiir anlayışını sistemleştirdiği başyapıtıdır. Metafizik derinlik hakimdir. | Metafizik ve mistik şiirin zirve ismidir. 'Üstad' ve 'Kaldırımlar Şairi' olarak anılır.
Necip Fazıl Kısakürek | Kaldırımlar | Şiir | - | - | Yalnızlık ve korku temalarını sarsıcı bir dille işlediği, şaire büyük ün kazandıran şiir kitabıdır. | 
Necip Fazıl Kısakürek | Bir Adam Yaratmak | Tiyatro | 1 kez | - | Bir yazarın yaşadığı varoluşsal sancıları ve delilik sınırındaki zihinsel sürecini anlatan güçlü bir dramdır. | 
Necip Fazıl Kısakürek | Reis Bey | Tiyatro | - | - | Merhamet ve adalet kavramlarını, idam cezası ve vicdan muhasebesi üzerinden sorgulayan meşhur oyunudur. | 
Necip Fazıl Kısakürek | Para | Tiyatro | - | - | Maddiyatın insan ruhu üzerindeki yıkıcı etkisini ve toplumsal ahlak çöküşünü eleştiren oyunudur. | 
Necip Fazıl Kısakürek | Aynadaki Yalan | Roman | - | - | Bir aydının ruhsal bunalımlarını ve hakikat arayışını mistik bir çerçevede anlatan romanıdır. | 
Nazım Hikmet | 835 Satır | Şiir | - | - | Türk şiirinde serbest nazmın ilk örneği kabul edilen, fütürist etkiler taşıyan devrimci şiir kitabıdır. | Serbest nazmın ve toplumcu gerçekçi şiirin dünyaca ünlü temsilcisidir.
Nazım Hikmet | Memleketimden İnsan Manzaraları | Şiir / Destan | - | - | Türkiye'nin sosyal panoramasını bir tren yolculuğu üzerinden anlatan devasa bir şiir-destan eseridir. | 
Nazım Hikmet | Kuvayı Milliye Destanı | Şiir / Destan | - | - | Kurtuluş Savaşı'nı epik bir dille ve halk kahramanları üzerinden anlatan ölümsüz eseridir. | 
Nazım Hikmet | Şeyh Bedrettin Destanı | Şiir | - | - | Tarihsel bir isyanı toplumcu bir bakış açısıyla ve modern bir dille yeniden kurguladığı destanıdır. | 
Sabahattin Ali | Kuyucaklı Yusuf | Roman | - | - | Anadolu kasaba hayatındaki adaletsizliği ve ağalık düzenini işleyen ilk toplumcu gerçekçi romandır. | Toplumcu gerçekçi edebiyatın en önemli hikâye ve roman yazarlarındandır.
Sabahattin Ali | Kürk Mantolu Madonna | Roman | - | - | Raif Efendi'nin Maria Puder'e duyduğu imkansız aşkı ve içsel yalnızlığını anlatan kült eseridir. | 
Sabahattin Ali | İçimizdeki Şeytan | Roman | - | - | Aydınlar arasındaki çatışmayı ve insanın kendi zaaflarıyla olan mücadelesini psikolojik derinlikle işler. | 
Sabahattin Ali | Değirmen | Hikâye | - | - | Yazarın ilk hikâye kitabıdır; lirik ve romantik unsurların realizmle birleştiği öyküleridir. | 
Sabahattin Ali | Kağnı | Hikâye | - | - | Köy hayatının zorluklarını ve ezilen insanların dramını tüm çıplaklığıyla anlatan hikâyeleridir. | 
Sabahattin Ali | Ses | Hikâye | - | - | Sanatçı duyarlılığını ve toplumsal gerçekleri harmanlayan etkileyici öykülerini içerir. | 
Sabahattin Ali | Sırça Köşk | Hikâye / Masal | - | - | Toplumsal eleştiriyi masalsı bir dille ve simgelerle sunduğu, döneminde tartışılan son kitabıdır. | 
Cahit Sıtkı Tarancı | Otuz Beş Yaş | Şiir | - | - | Yaşama sevinci ile ölüm korkusunu iç içe işleyen, edebiyatımızın en lirik şiirlerini içeren eseridir. | 'Ölüm Şairi' olarak tanınan saf şiir temsilcisidir.
Cahit Sıtkı Tarancı | Ömrümde Sükût | Şiir | - | - | Şairin ilk şiir kitabıdır; hüzün, yalnızlık ve içe dönük duyguların hakim olduğu şiirleri toplar. | 
Cahit Sıtkı Tarancı | Düşten Güzel | Şiir | - | - | Hayaller, çocukluk özlemi ve gündelik yaşamın şiirselleştirildiği olgunluk dönemi eseridir. | 
Ahmet Muhip Dıranas | Fahriye Abla | Şiir | - | - | Geçmişe özlemi ve insan sıcaklığını hece ölçüsünün eşsiz ahengiyle anlatan en popüler şiiridir. | Saf şiir anlayışının en önemli biçim ve ses ustalarından biridir.
Ahmet Muhip Dıranas | Olvido | Şiir | - | - | Metafizik derinliği ve imge zenginliğiyle Türk şiirinin zirve eserlerinden biri kabul edilen şiiridir. | 
Ahmet Muhip Dıranas | Kar | Şiir | - | - | Doğayı ve sükuneti sembolist bir duyarlılıkla, mısra mükemmelliği içinde sunan başyapıtıdır. | 
Ahmet Muhip Dıranas | Gölgeler | Tiyatro | - | - | İnsan psikolojisini ve içsel çatışmaları işleyen, şiirsel diliyle dikkat çeken oyunudur. | 
Ziya Osman Saba | Sebil ve Güvercinler | Şiir | - | - | Ev, aile sevgisi ve küçük mutlulukları hüzünlü bir lirizmle anlatan en önemli şiir kitabıdır. | Yedi Meşaleciler topluluğunun şiir anlayışına en sadık kalan ismidir.
Ziya Osman Saba | Mesut İnsanlar Fotoğrafhanesi | Hikâye | - | - | Çocukluk anılarını ve geçmişe duyulan özlemi büyük bir samimiyetle anlatan öykü kitabıdır. | 
Ziya Osman Saba | Nefes Almak | Şiir | - | - | Hayatın geçiciliğini ve Tanrı'ya sığınma duygusunu işleyen, şairin son dönem şiirlerini içerir. | 
