Ahmet Yesevi | Divan-ı Hikmet | Şiir |  | 2016 yılı UNESCO tarafından Ahmet Yesevi yılı kabul edilmiştir. | Arapçayı ve Farsçayı çok iyi bilen şairin, dervişlik adabını ve yolunu etrafında toplanan müritlerine (öğrencilerine) öğretebilmek adına, oldukça anlaşılır bir dille yazdığı şiirlerdir. Türk halk edebiyatından alınan dörtlükler ve hece ölçüsüyle basit bir dille yazılan bu şiirlere "hikmet" adı verilmiştir. Eserde ilahi aşkın her şeyin esası olduğu görüşü dikkat çekmektedir. | Türkler arasında ilk tarikat kurucusu ve aynı zamanda yaşadığı dönemde halkın üzerinde derin izler bırakmış olan ilk sufidir. Kurduğu Yeseviye tarikatıyla birlikte tasavvufi düşüncelerin ve İslamiyet'in Orta Asya Türk boyları arasında gelişmesini ve yayılmasını sağlamış çok önemli bir şahsiyettir. Sünni-Hanefi inancına sahip olan Ahmet Yesevi'nin eserlerinde Hz. Muhammed'in sünnetine bağlılık düşüncesinin temelini oluşturur; tasavvufi anlayışı Kur'an ve sünnete tamamıyla uygundur.
Ahmet Yesevi | Fakrnâme | Mensur |  |  | Ayrı bir eser olmamakla birlikte, Divan-ı Hikmet'in mensur mukaddimesidir (önsözüdür). İçeriğine bakıldığında tasavvufi düşüncelerin didaktik (öğretici) bir nitelikle ele alındığı görülmektedir. | 
Sultan Veled | Selçuk Şehnamesi | Şiir |  |  | Yazarın böyle bir eseri olduğu bilinmektedir, ancak bu eser günümüze kadar ele geçmemiştir. | Mevlana'nın oğludur ve Mevleviliğin kurucusudur. Dini-tasavvufî konulara ağırlık vermekle birlikte biçim olarak Divan tarzı şiirleri Anadolu'da ilk yazan odur. Şiirlerinin çoğu Farsça olmakla birlikte, Türkçe birkaç gazeli ve mesnevi biçimli birkaç parçası vardır. Farsça eserlerinden bazılarının sonuna Türkçe bölümler eklenmiştir. Kendisi Türkçe gazel yazan ilk kişi olarak bilinir.
Sultan Veled | İbtidanâme | Mesnevi |  |  | Mevlâna'nın ve onunla ilişkileri olan kişilerin yaşamlarına ve süreçlerine ait bilgiler içerir. | 
Sultan Veled | Rebâbnâme | Mesnevi |  |  | Mesnevi türünde yazılmış bir eserdir. | 
Sultan Veled | İntihânâme | Mesnevi |  |  | Mesnevi türünde yazılmış bir eserdir. | 
Sultan Veled | Maarif | Düz Yazı / Şerh |  |  | Mevlâna'nın sözlerinin açıklanmasının yanı sıra kendi özelliklerini ve dönemine ait olayları anlattığı eseridir. | 
Şeyyad Hamza | Dastan-ı Sultan Mahmud | Mesnevi |  |  | 79 beyitlik mesnevi türünde bir eserdir. | 13. yüzyılda Akşehir ve Sivrihisar'da yaşayan sufi şairlerden biridir. Önceleri bir şeyyad (duvar ustası) iken Ahi zümrelerine intisabı sebebiyle tarikat çevrelerine de girmiş, bu arada halk için şiirler söylemiştir. Hece ve aruzla şiirler söyleyebilen, İslam kültürünü çok iyi kavramış gezgin bir mutasavvıftır. Hece ile yazdığı parçalar nazım tekniği itibari ile güzeldir. Hamse sahibidir ve özellikle dini-tasavvufi Türk edebiyatı sahasında önemli bir yeri vardır.
Şeyyad Hamza | Yusuf u Züleyha | Mesnevi |  |  | 1529 beyitlik hacimli bir eserdir. İçerik olarak Kur'an-ı Kerîm'deki Yûsuf kıssasına dayanmaktadır. | 
Şeyyad Hamza | "İçinde" Redifli Manzume | Şiir |  |  | 26 beyitlik "içinde" redifli meşhur manzumedir. | 
Gülşehri | Mantıku't- Tayr (Gülşennâme) | Çeviri / Mesnevi |  |  | Gülşennâme olarak da bilinen bu eser, İranlı şair Feridüttin Attar'ın aynı adlı eserinin çevirisidir. "Kuş Dili" anlamına gelmektedir ve tamamen tasavvufi, alegorik bir eserdir. | Edebiyatımızda mahlas kullanan ilk şairdir. Aynı zamanda hayvan hikayeleri ile tanınan ilk sanatçı olarak bilinir.
