Ahmet Haşim | Göl Saatleri | Şiir |  |  | İlk şiir kitabıdır (1921). Şairin olgunluk dönemi eserlerindendir. Akşam, gurup, melankoli temalarını işler. | 
Ahmet Haşim | Piyale | Şiir |  |  | İkinci şiir kitabıdır. Ön sözünde 'Şiir Hakkında Bazı Mülahazalar' başlığıyla şiir anlayışını açıklar. Şiirde anlam aramanın gereksizliğini savunur. | 
Ahmet Haşim | Frankfurt Seyahatnamesi | Gezi |  |  | Yazarın tedavi için gittiği Frankfurt'taki izlenimlerini içerir. 'Yalan' kavramı üzerine ilginç tespitler barındırır. | 
Ahmet Haşim | Gurebahane-i Laklakan | Deneme / Fıkra |  |  | Yazarın çeşitli konulardaki deneme ve fıkralarını içerir. Eserin adı 'Leyleklerin Düşkünler Evi' anlamına gelir. | 
Ahmet Haşim | Bize Göre | Deneme / Fıkra |  |  | Yazarın İkdam gazetesinde yayımlanan fıkra ve sohbet yazılarından oluşan önemli bir düz yazı kitabıdır. | 
Ahmet Haşim | O Belde | Şiir |  |  | Haşim'in şiir anlayışındaki 'hayali belde' özlemini, akşam ve hüzün renkleriyle örülü sembolist bir dille anlatan en ünlü şiirlerinden biridir. | 
Ahmet Haşim | Merdiven | Şiir |  |  | Hayatın sonuna yaklaşan bir insanın hüznünü 'ağır ağır çıkacaksın bu merdivenlerden' dizesiyle simgeleyen, sembolizmin zirve noktalarından olan şiiridir. | 
Tahsin Nahit | Ruh-i Bikayd | Şiir |  |  | Şairin sembolist ve melankolik şiirlerini topladığı tek kitabıdır. Adalar'ın huzurlu ve hüzünlü atmosferi ile aşk teması ön plandadır. | 
Tahsin Nahit | Hicranlar | Tiyatro |  |  | Sanatçının duygusal ve hüzünlü temaları işlediği, bireysel ızdırapları merkeze alan tiyatro eserlerinden biridir. | 
Tahsin Nahit | Jön Türk | Tiyatro |  |  | Şahabettin Süleyman ile birlikte yazdığı, dönemin siyasi ve sosyal hareketliliğini konu alan tarihi bir oyundur. | 
Tahsin Nahit | Firar | Tiyatro |  |  | Aşk ve sadakat üzerine kurgulanmış, karakterlerin içsel çatışmalarını ve kaçış arzularını yansıtan bir oyundur. | 
Tahsin Nahit | Aşkımız | Tiyatro |  |  | Ruhsan Nevvare ile ortaklaşa yazdığı, romantik öğelerin ağır bastığı ve duygusal ilişkileri sorgulayan bir tiyatro eseridir. | 
Tahsin Nahit | Sanatkârlar | Tiyatro |  |  | Sanatçıların yaşamını, idealizmlerini ve toplumla olan çatışmalarını konu edinen, ortak yazılmış bir oyundur. | 
Tahsin Nahit | Ben Başka | Tiyatro |  |  | Bireyin özgünlüğünü ve toplumsal beklentilerle olan uyumsuzluğunu karakterler üzerinden işleyen bir eserdir. | 
Tahsin Nahit | Talak | Tiyatro |  |  | Boşanma meselesini ve bunun aile üzerindeki sarsıcı etkilerini dönemin sosyal şartlarına göre eleştiren bir oyundur. | 
Tahsin Nahit | Kırık Mahfaza | Tiyatro |  |  | Duygusal bir kırgınlığı ve geçmişin hatıralarını bir obje üzerinden merkezine alan sembolik bir tiyatro çalışmasıdır. | 
Tahsin Nahit | Osman-ı Sani | Tiyatro |  |  | Genç Osman'ın hayatını, tahttan indirilişini ve trajik sonunu konu alan tarihi bir tiyatro eseridir. | 
Emin Bülend Serdaroğlu | Kin | Şiir |  |  | Victor Hugo'nun 'Mavi Gözlü Yunan Çocuğu' şiirine karşı yazdığı epik şiirdir. Şairin en tanınmış ve milli gururu okşayan eseridir. | 
Emin Bülend Serdaroğlu | Hatay'a Selam | Şiir |  |  | Hatay'ın anavatana katılması özlemini ve bölge halkına duyulan selamı içeren milli duyarlılıklı şiiridir. | 
Emin Bülend Serdaroğlu | Dev Şarkısı | Şiir |  |  | Şairin epik üslubunu yansıtan, güç ve kahramanlık temalarını işlediği önemli şiirlerinden biridir. | 
Cemil Süleyman Alyanakoğlu | Timsal-i Aşk | Hikâye |  |  | Fecr-i Ati Kütüphanesi'nin ilk eseridir. Mehmet Rauf etkisinde, aşk ve hüzün temalı öyküleri içerir. | 
Cemil Süleyman Alyanakoğlu | Siyah Gözler | Roman |  |  | Dul bir kadının genç bir adama duyduğu hastalıklı kıskançlığı ve sonundaki cinnet halini anlatan güçlü bir psikolojik romandır. | 
Cemil Süleyman Alyanakoğlu | İnhizam | Roman |  |  | Kelime anlamı 'yenilgi' olan eser, karakterlerin hayat ve kader karşısındaki başarısızlıklarını ve mutsuzluklarını konu alır. | 
Cemil Süleyman Alyanakoğlu | Kadın Ruhu | Roman |  |  | Kadın psikolojisini derinlemesine tahlil eden, aşkın kadın ruhundaki yıkıcı ve yapıcı etkilerini inceleyen bir romandır. | 
Cemil Süleyman Alyanakoğlu | Ukde | Hikâye |  |  | Karakterlerin içlerinde çözemedikleri duygusal sorunları ve hüzünlü anılarını işleyen öykülerden oluşur. | 
