Ali Canip Yöntem | Geçtiğim Yol | Şiir |  |  | Şairin şiirlerini topladığı kitabıdır. Milli Edebiyat anlayışına uygun sade dilli şiirleri içerir. | Milli Edebiyat akımının öncülerindendir. Genç Kalemler dergisinde yayımladığı yazılarla Yeni Lisan hareketini ve sade Türkçeyi savunmuştur. Aruzdan heceye geçerek sade dille şiirler yazmıştır. Lise edebiyat programlarının düzenlenmesinde çalışmış, ders kitapları hazırlamıştır. Makaleleri ve edebiyat tarihçiliğiyle tanınır. Polemikçi bir kişiliğe sahiptir; Cenap Şahabettin ile edebiyat anlayışı üzerine ünlü tartışmalara girmiştir.
Ali Canip Yöntem | Milli Edebiyat Meselesi ve Cenap'la Münakaşalarım | Makale / Eleştiri |  |  | Cenap Şahabettin ile edebiyat anlayışı üzerine yaptığı tartışmaları içeren, Milli Edebiyat'ın ilkelerini savunan önemli bir polemik kitabıdır. | 
Ali Canip Yöntem | Ömer Seyfettin | İnceleme / Biyografi |  |  | Milli Edebiyat'ın önde gelen hikâyecisi ve yakın dostu Ömer Seyfettin hakkında yazılmış kapsamlı bir inceleme ve biyografi kitabıdır. | 
Ali Canip Yöntem | Epope | İnceleme |  |  | Epope (destan) türü üzerine yapılmış teorik, tarihi ve eleştirel bir inceleme çalışmadır. | 
Ali Canip Yöntem | Türk Edebiyat Antolojisi | Antoloji |  |  | Türk edebiyatının çeşitli dönemlerinden seçme metinleri bilimsel bir tasnifle bir araya getiren bir antolojidir. | 
Ömer Seyfettin | Yeni Lisan | Makale |  |  | 1911'de Genç Kalemler'de yayımlanan, Milli Edebiyat'ın dil manifestosu kabul edilen makaledir. Dilde sadeleşmenin kurallarını belirlemiştir. | Türk hikâyeciliğinin en büyük ustası ve Milli Edebiyat akımının kurucu ismidir. 'Yeni Lisan' makalesiyle Türkçenin özleşmesi hareketini başlatmıştır. Hikâyelerinde Maupassant tarzını (olay hikâyeciliği) benimsemiş; tarihi olayları, milli bilinçlenmeyi ve çocukluk anılarını sade bir Türkçeyle işlemiştir. Edebiyatı toplum için bir eğitim aracı olarak görmüştür.
Ömer Seyfettin | Efruz Bey | Roman |  |  | Dönemin sahte aydın tipini hicveden, bir dizi hikâyeden oluşan biyografik bir roman özelliğindeki eseridir. | 
Ömer Seyfettin | Yalnız Efe | Roman / Uzun Hikâye |  |  | Bir kadının babasının intikamını almak için dağa çıkışını ve bir halk kahramanına dönüşmesini anlatan destansı bir eserdir. | 
Ömer Seyfettin | Ashab-ı Kehfimiz | Roman |  |  | II. Meşrutiyet sonrası Osmanlı'daki azınlık meselelerini ve toplumsal yapıyı eleştiren bir roman denemesidir. | 
Ömer Seyfettin | Bomba | Hikâye |  |  | Balkan Savaşları sırasında yaşanan acıları ve zulümleri tüm çıplaklığıyla anlatan sarsıcı bir hikâye kitabıdır. | 
Ömer Seyfettin | Beyaz Lale | Hikâye |  |  | Bulgar zulmünü ve savaşın trajedisini konu alan, yazarın en etkileyici ve dramatik öykülerinden biridir. | 
Ömer Seyfettin | Harem | Hikâye |  |  | Aile hayatını ve kadın-erkek ilişkilerini mizahi ve eleştirel bir bakış açısıyla ele alan öyküleridir. | 
Ömer Seyfettin | Yüksek Ökçeler | Hikâye |  |  | İkiyüzlülüğü ve toplumsal aksaklıkları mizahi bir olay örgüsüyle anlatan en popüler hikâyelerinden biridir. | 
Ömer Seyfettin | Gizli Mabed | Hikâye |  |  | Yanlış Batılılaşmayı ve kültürel yozlaşmayı Doğu-Batı çatışması üzerinden işleyen öyküleridir. | 
Ömer Seyfettin | Bahar ve Kelebekler | Hikâye |  |  | Nesil çatışmasını ve değişen değer yargılarını genç bir kızın gözlemleri üzerinden anlatan bir öyküdür. | 
Ömer Seyfettin | Pembe İncili Kaftan | Hikâye |  |  | Türk elçisi Muhsin Çelebi'nin devlet onurunu korumak için yaptığı fedakârlığı anlatan tarihi bir öyküdür. | 
Ömer Seyfettin | Kaşağı | Hikâye |  |  | Kardeş sevgisi, yalan ve pişmanlık temalarını işleyen, klasikleşmiş bir çocukluk anısı hikâyesidir. | 
Ömer Seyfettin | Falaka | Hikâye |  |  | Çocukluk yıllarındaki eğitim hayatını ve mahalle mektebi anılarını mizahi bir dille anlattığı öyküsüdür. | 
Ömer Seyfettin | Ferman | Hikâye |  |  | Türk tarihindeki kahramanlıkları ve devlet terbiyesini konu alan tarihi hikâyelerinden biridir. | 
Ömer Seyfettin | Başını Vermeyen Şehit | Hikâye |  |  | Giritli Deli Cafer'in kahramanlıklarını ve vatan sevgisini destansı bir dille anlattığı ünlü öyküsüdür. | 
