Tevfik Fikret | Rübab-ı Şikeste | Şiir |  |  | Tevfik Fikret'in ilk şiir kitabıdır (1899). Aşk, kahramanlık, aile sevgisi, doğa gibi konuları işlemiştir. Servetifünun tarzındaki şiirleri bu kitapta toplanmıştır. Kitabın başında bulunan "Süha ve Pervin" şiirindeki Süha karakteri, mizacıyla Fikret'in kendisini yansıtır. Şairin 1895 sonrası karamsar tavrı "Gayya-yı Vücud" şiirinde zirveye ulaşır; varlığını cehennem kuyusunda görecek kadar kötümserdir. "Perde-i Teselli"de 80 yaşındaki kör bir dilenciye dünyayı görmediği için gıpta eder. Bu karamsarlıktan kurtuluşu hayal, aşk ve sanatta bulur; "Yeşil Yurt" şiirinde hayali bir saadet ülkesi tasavvur eder. Dönemin modasına uyarak 19'u tabiat, 6'sı insanla ilgili olmak üzere tablo altı şiirler yazmış; yılın 12 ayını anlattığı şiirlerini "Aveng-i Şuhur"da, Fuzuli, Cenab, Nedim, Üstad Ekrem, Nef'i ve Hamid'i anlatanları ise "Aveng-i Tesavir"de toplamıştır. François Coopee etkisiyle yazdığı sosyal manzumeler merhamet duygusu taşır. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Tevfik Fikret | Rübab'ın Cevabı | Şiir |  |  | Servetifünun tarzındaki şiirlerinin yer aldığı bir diğer kitabıdır. Rübab-ı Şikeste'deki şiir anlayışının devamı niteliğindedir. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Tevfik Fikret | Haluk'un Defteri | Şiir |  |  | 1911'de yayımlanan bu kitap, sosyal, ahlaki ve milli duygular içerir. Tevfik Fikret, oğlu Haluk'un kişiliğinde bütün Türk gençliğine seslenir, öğütler verir; didaktik bir eserdir. Kitap "Haluk'un Defteri", "Hayata Karşı Beşer" ve "Hitabeler" olmak üzere üç bölüme ayrılır. Her bölümün sonunda, şairin geleceğe dair fikirlerinin sembolü olan "çatlamak üzere olan bir tohum" resmi bulunur. Rübab-ı Şikeste'deki bireysel ve karamsar ruh hali bu eserde tamamen değişmiş, şair geleceğe ümitle bakar hale gelmiştir; ancak ilerleyen yıllarda yine kötümserliğe kapılacaktır. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Tevfik Fikret | Şermin | Şiir |  |  | Hece ölçüsüyle ve sade bir dille çocuklar için yazılmış şiirlerden oluşur. Kitapta 31 adet şiir yer alır ve tamamı sekizli hece ölçüsüyle yazılmıştır. Şair bu şiirlerde genellikle ahlaklı olmayı, bencillikten kurtulmayı, yoksul ve engellilere yardım etmenin gereğini aşılamak, çocuklara iş ve sanatı sevdirmek ister. Kitap adını, şairin genç yaşta ölen kız kardeşi Sıdıka Hanım'ın kızı olan yeğeni Şermin'den alır. Eğitimci dostu Mustafa Satı Bey'in Şişli'de açtığı çocuk yuvası için yazdığı şiirlerin toplandığı bu eserin ilk şiiri "İthaf", çocuk yuvalarının önemine dikkat çeker. Kitapta "Şermin'in Elifbe'si", "Marangoz", "Umacı", "Ezan", "Papatya", "Arslan", "Hediye", "Muhallebim ve Okulum", "Keman", "Rüya", "Ağustos Böceği ile Karınca", "Hasbıhal", "Kırık At", "Bahar Kalfa", "Siyah Bacı" gibi şiirler bulunur. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Tevfik Fikret | Sis | Şiir |  |  | Servetifünun sonrası, bireysellikten toplumsalcılığa evrilen Fikret'in bu dönemdeki en dikkat çekici şiiridir. Ahmet Hamdi Tanpınar, Sis'i II. Abdülhamid döneminin romanı olarak görür. Fikret'in yaşadığı İstanbul, II. Abdülhamid'in baskıcı yönetimi altındaki, hayallere set çeken acı hakikatler şehridir; "fennin siyah toprağı altın" yapacağı bir yer değildir. Bu şiir aynı zamanda bir ekol başlatmış; Yakup Kadri'nin "Sodom ve Gomore"si ve Mithat Cemal Kuntay'ın "Üç İstanbul"u bu şiirin izinden giden eserler olmuştur. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Tevfik Fikret | Tarih-i Kadim | Şiir |  |  | Fikret'in dini duygularını yitirdiğini belirttiği ve bu nedenle Mehmet Akif Ersoy ile şiddetli bir kalem kavgasına girişmesine yol açan şiiridir. Bu tartışma üzerine Akif'in onu "zangoçluk"la itham etmesine karşılık "Tarih-i Kadim'e Zeyl"i yazmıştır. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Tevfik Fikret | Tarih-i Kadim'e Zeyl | Şiir |  |  | "Mehmet Akif'in eleştirilerine cevap olarak yazdığı son şiirlerdendir." | 
Tevfik Fikret | Bir Lahza-i Teahhur | Şiir |  |  | "II. Abdülhamid'e yapılan Ermeni suikastı üzerine yazılmıştır." | 
Tevfik Fikret | Han-ı Yağma | Şiir |  |  | Son yıllarındaki hiddet ve acı alay dolu şiirlerinin en bilinen örneklerindendir. Milletin hayatı pahasına zevk içinde yaşayan egemen sınıfı, "Bu sofracık, efendiler - ki iltikaama muntazır / Huzurunuzda titriyor - bu milletin hayatıdır" dizeleriyle başlayan ağır bir hicivle eleştirir. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
Tevfik Fikret | Doksan Beşe Doğru | Şiir |  |  | İttihat ve Terakki yönetimini eleştirdiği şiiridir. | 
Tevfik Fikret | Balıkçılar | Şiir |  |  | Manzum hikâye türündeki bu şiir, yoksul bir balıkçı ailesinin geçim sıkıntısını ve denizle mücadelesini dramatik bir dille anlatır. | Sanat yaşamı dört döneme ayrılır. Servetifünun döneminde (1896-1901) bireysel ve karamsar şiirler yazmış, daha sonra toplumsal konulara yönelmiştir. 48 yıllık ömrünün 33 yılını II. Abdülhamit'in yönetimi altında geçirmesi kişiliğini ve sanatını derinden etkilemiştir. Şiirde beyit bütünlüğünü kırmış, anlamın bir beyitte tamamlanması geleneğini ortadan kaldırarak nazmı nesre yaklaştırmıştır. Aruz ölçüsünü Türkçeye başarıyla uygulayan iki şairden biridir (diğeri Mehmet Akif Ersoy). Parnasizm akımından etkilenmiştir. "Balıkçılar", "Nesrin", "Ramazan Sadakası", "Hasta Çocuk" gibi manzum hikâyeler yazmıştır. Hece ölçüsünü yalnızca çocuklar için yazdığı "Şermin" adlı kitabında kullanmıştır.
