Nabi | Hayriyye | Mesnevi | 2013 Türkçe ÖABT ve 2023 Okul Öncesi ÖABT'de sorulmuştur. |  | (1701) Türk çocuk edebiyatının öncü eserlerinden biri olarak kabul edilir. | 
Yalvaç Ural | Müzik Satan Çocuklar | Öykü | 2014 ve 2021 Türkçe ÖABT'de sorulmuştur; II. Uluslararası Çocuk Kitabı Fuarı'nda birincilik ödülü almıştır. |  | II. Uluslararası Çocuk Kitabı Fuarı'nda birincilik ödülü almıştır. Dünyada ilk kez Çingenece basılan çocuk kitabı özelliğine sahiptir. | 
Cemal Süreya | Aritmetik İyi, Kuşlar Pekiyi | Çocuk Kitabı | 2016 Türkçe ÖABT'de sorulmuştur. |  |  | Modern Türk şiirinin en önemli isimlerinden, İkinci Yeni akımının öncülerindendir. Keskin zekası, mizahı ve aşk temalı şiirleriyle tanınır.
Tevfik Fikret | Şermin | Şiir | 2016 Türkçe ÖABT'de sorulmuştur. |  | (1914) Türk edebiyatının ilk eğitsel çocuk kitabı ve çocuk şiiri alanında Türkçedeki ilk örneklerden biri kabul edilir. 31 adet şiir içerir, hece ölçüsüyle kaleme alınmıştır. | 
Ziya Gökalp | Yeni Hayat | Şiir | 2016 Türkçe ÖABT'de sorulmuştur. |  | (1918) | 
Gülten Dayıoğlu | Fadiş | Roman | 2016 ve 2020 Türkçe ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Havaya Çizilen Dünya | Şiir | 2017 Türkçe ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Yazıları Seven Ayı | Şiir | 2017 Türkçe ÖABT'de sorulmuştur. |  | Okumayı Seven Ayı olarak da bilinir. | 
Fazıl Hüsnü Dağlarca | Balina ile Mandalina | Şiir | 2017, 2020 Türkçe ÖABT ve 2021, 2025 Sınıf ÖABT'de sorulmuştur. |  | | 
Fazıl Hüsnü Dağlarca | Kuş Ayak | Şiir | 2017 Türkçe ÖABT ve 2021, 2025 Sınıf ÖABT'de sorulmuştur. |  | | 
Eflatun Cem Güney | Açıl Sofram Açıl | Masal | 2017 Türkçe ÖABT ve 2021 Okul Öncesi ÖABT'de sorulmuştur; Hans Christian Andersen Payesi Şeref Diploması almıştır. |  | Bu eserle Danimarka'da Hans Christian Andersen Payesi Şeref Diploması ve Dünya Çocuk Yazını Sertifikası almıştır. | 
